Freq.	V(out)
1.00000000000000e-001	(-3.70476097766488e-004dB,-5.29184952278032e-001°)
1.02329299228075e-001	(-3.87935318553926e-004dB,-5.41510527629280e-001°)
1.04712854805090e-001	(-4.06217291840376e-004dB,-5.54123150617376e-001°)
1.07151930523761e-001	(-4.25360785496107e-004dB,-5.67029503729709e-001°)
1.09647819614319e-001	(-4.45406393771217e-004dB,-5.80236424843442e-001°)
1.12201845430196e-001	(-4.66396623292845e-004dB,-5.93750910826037e-001°)
1.14815362149688e-001	(-4.88375983118920e-004dB,-6.07580121218287e-001°)
1.17489755493953e-001	(-5.11391079040972e-004dB,-6.21731382001684e-001°)
1.20226443461741e-001	(-5.35490712292879e-004dB,-6.36212189451989e-001°)
1.23026877081238e-001	(-5.60725982933429e-004dB,-6.51030214080886e-001°)
1.25892541179417e-001	(-5.87150398078993e-004dB,-6.66193304667671e-001°)
1.28824955169313e-001	(-6.14819985222508e-004dB,-6.81709492382933e-001°)
1.31825673855641e-001	(-6.43793410888526e-004dB,-6.97586995006231e-001°)
1.34896288259165e-001	(-6.74132104866480e-004dB,-7.13834221239828e-001°)
1.38038426460288e-001	(-7.05900390290463e-004dB,-7.30459775120540e-001°)
1.41253754462275e-001	(-7.39165619811722e-004dB,-7.47472460531828e-001°)
1.44543977074593e-001	(-7.73998318209554e-004dB,-7.64881285818295e-001°)
1.47910838816821e-001	(-8.10472331673568e-004dB,-7.82695468504760e-001°)
1.51356124843621e-001	(-8.48664984115813e-004dB,-8.00924440122162e-001°)
1.54881661891248e-001	(-8.88657240827054e-004dB,-8.19577851142544e-001°)
1.58489319246111e-001	(-9.30533879821571e-004dB,-8.38665576025425e-001°)
1.62181009735893e-001	(-9.74383671223709e-004dB,-8.58197718377904e-001°)
1.65958690743756e-001	(-1.02029956510172e-003dB,-8.78184616230874e-001°)
1.69824365246174e-001	(-1.06837888809097e-003dB,-8.98636847433741e-001°)
1.73780082874937e-001	(-1.11872354928304e-003dB,-9.19565235170127e-001°)
1.77827941003892e-001	(-1.17144025574922e-003dB,-9.40980853597012e-001°)
1.81970085860998e-001	(-1.22664073821225e-003dB,-9.62895033609848e-001°)
1.86208713666287e-001	(-1.28444198727697e-003dB,-9.85319368736186e-001°)
1.90546071796325e-001	(-1.34496650077001e-003dB,-1.00826572116041e+000°)
1.94984459975804e-001	(-1.40834254266654e-003dB,-1.03174622788216e+000°)
1.99526231496888e-001	(-1.47470441416863e-003dB,-1.05577330701115e+000°)
