Freq.	V(ref)	V(refref)
1.00000000000000e-003	(-1.63910021423523e+001dB,-3.05451651672277e-001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
1.02329299228075e-003	(-1.63910079594138e+001dB,-3.12566395082865e-001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
1.04712854805090e-003	(-1.63910140506167e+001dB,-3.19846852176240e-001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
1.07151930523761e-003	(-1.63910204288799e+001dB,-3.27296882206163e-001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
1.09647819614318e-003	(-1.63910271077314e+001dB,-3.34920434268918e-001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
1.12201845430196e-003	(-1.63910341013364e+001dB,-3.42721549392365e-001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
1.14815362149688e-003	(-1.63910414245278e+001dB,-3.50704362673387e-001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
1.17489755493953e-003	(-1.63910490928374e+001dB,-3.58873105464850e-001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
1.20226443461741e-003	(-1.63910571225287e+001dB,-3.67232107613201e-001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
1.23026877081238e-003	(-1.63910655306318e+001dB,-3.75785799747868e-001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
1.25892541179417e-003	(-1.63910743349792e+001dB,-3.84538715623642e-001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
1.28824955169313e-003	(-1.63910835542435e+001dB,-3.93495494517248e-001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
1.31825673855641e-003	(-1.63910932079774e+001dB,-4.02660883679349e-001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
1.34896288259165e-003	(-1.63911033166548e+001dB,-4.12039740843241e-001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
1.38038426460288e-003	(-1.63911139017143e+001dB,-4.21637036791525e-001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
1.41253754462275e-003	(-1.63911249856045e+001dB,-4.31457857982085e-001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
1.44543977074593e-003	(-1.63911365918322e+001dB,-4.41507409234705e-001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
1.47910838816821e-003	(-1.63911487450112e+001dB,-4.51791016479717e-001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
1.51356124843621e-003	(-1.63911614709154e+001dB,-4.62314129570062e-001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
1.54881661891248e-003	(-1.63911747965331e+001dB,-4.73082325158229e-001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
1.58489319246111e-003	(-1.63911887501240e+001dB,-4.84101309639503e-001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
1.62181009735893e-003	(-1.63912033612792e+001dB,-4.95376922163048e-001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
1.65958690743756e-003	(-1.63912186609844e+001dB,-5.06915137712333e-001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
1.69824365246174e-003	(-1.63912346816846e+001dB,-5.18722070256467e-001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
1.73780082874937e-003	(-1.63912514573539e+001dB,-5.30803975974034e-001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
1.77827941003892e-003	(-1.63912690235666e+001dB,-5.43167256551051e-001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
1.81970085860998e-003	(-1.63912874175733e+001dB,-5.55818462554712e-001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
1.86208713666287e-003	(-1.63913066783794e+001dB,-5.68764296884594e-001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
1.90546071796324e-003	(-1.63913268468276e+001dB,-5.82011618303070e-001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
1.94984459975804e-003	(-1.63913479656852e+001dB,-5.95567445046674e-001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
1.99526231496888e-003	(-1.63913700797338e+001dB,-6.09438958520215e-001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
2.04173794466953e-003	(-1.63913932358647e+001dB,-6.23633507075478e-001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
2.08929613085404e-003	(-1.63914174831782e+001dB,-6.38158609876366e-001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
2.13796208950223e-003	(-1.63914428730872e+001dB,-6.53021960852393e-001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
2.18776162394955e-003	(-1.63914694594266e+001dB,-6.68231432742457e-001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
2.23872113856834e-003	(-1.63914972985672e+001dB,-6.83795081230882e-001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
2.29086765276777e-003	(-1.63915264495348e+001dB,-6.99721149177719e-001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
2.34422881531992e-003	(-1.63915569741355e+001dB,-7.16018070945376e-001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
2.39883291901949e-003	(-1.63915889370863e+001dB,-7.32694476823643e-001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
2.45470891568503e-003	(-1.63916224061525e+001dB,-7.49759197555252e-001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
2.51188643150958e-003	(-1.63916574522906e+001dB,-7.67221268964112e-001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
2.57039578276886e-003	(-1.63916941497993e+001dB,-7.85089936688439e-001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
2.63026799189538e-003	(-1.63917325764760e+001dB,-8.03374661020990e-001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
2.69153480392691e-003	(-1.63917728137817e+001dB,-8.22085121858701e-001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
2.75422870333816e-003	(-1.63918149470136e+001dB,-8.41231223764009e-001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
2.81838293126445e-003	(-1.63918590654855e+001dB,-8.60823101140222e-001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
2.88403150312660e-003	(-1.63919052627166e+001dB,-8.80871123523319e-001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
2.95120922666638e-003	(-1.63919536366293e+001dB,-9.01385900992579e-001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
3.01995172040201e-003	(-1.63920042897569e+001dB,-9.22378289702514e-001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
3.09029543251358e-003	(-1.63920573294596e+001dB,-9.43859397538587e-001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
3.16227766016837e-003	(-1.63921128681522e+001dB,-9.65840589899217e-001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
3.23593656929628e-003	(-1.63921710235415e+001dB,-9.88333495606662e-001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
3.31131121482590e-003	(-1.63922319188753e+001dB,-1.01135001294933e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
3.38844156139202e-003	(-1.63922956832025e+001dB,-1.03490231585817e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
3.46736850452531e-003	(-1.63923624516465e+001dB,-1.05900286021973e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
3.54813389233575e-003	(-1.63924323656902e+001dB,-1.08366439032866e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
3.63078054770101e-003	(-1.63925055734749e+001dB,-1.10889994548221e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
3.71535229097172e-003	(-1.63925822301136e+001dB,-1.13472286671965e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
3.80189396320560e-003	(-1.63926624980181e+001dB,-1.16114680370910e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
3.89045144994280e-003	(-1.63927465472425e+001dB,-1.18818572178480e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
3.98107170553496e-003	(-1.63928345558414e+001dB,-1.21585390913740e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
4.07380277804112e-003	(-1.63929267102462e+001dB,-1.24416598416016e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
4.16869383470334e-003	(-1.63930232056586e+001dB,-1.27313690295391e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
4.26579518801592e-003	(-1.63931242464617e+001dB,-1.30278196699341e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
4.36515832240165e-003	(-1.63932300466517e+001dB,-1.33311683095811e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
4.46683592150962e-003	(-1.63933408302885e+001dB,-1.36415751073007e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
4.57088189614874e-003	(-1.63934568319686e+001dB,-1.39592039156177e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
4.67735141287197e-003	(-1.63935782973185e+001dB,-1.42842223641671e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
4.78630092322637e-003	(-1.63937054835130e+001dB,-1.46168019448551e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
4.89778819368445e-003	(-1.63938386598161e+001dB,-1.49571180988028e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
5.01187233627271e-003	(-1.63939781081480e+001dB,-1.53053503051006e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
5.12861383991363e-003	(-1.63941241236785e+001dB,-1.56616821713987e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
5.24807460249771e-003	(-1.63942770154473e+001dB,-1.60263015263614e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
5.37031796370251e-003	(-1.63944371070145e+001dB,-1.63994005140108e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
5.49540873857623e-003	(-1.63946047371399e+001dB,-1.67811756899847e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
5.62341325190347e-003	(-1.63947802604951e+001dB,-1.71718281197333e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
5.75439937337155e-003	(-1.63949640484083e+001dB,-1.75715634786796e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
5.88843655355587e-003	(-1.63951564896433e+001dB,-1.79805921543638e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
6.02559586074356e-003	(-1.63953579912150e+001dB,-1.83991293505960e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
6.16595001861480e-003	(-1.63955689792433e+001dB,-1.88273951936354e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
6.30957344480191e-003	(-1.63957898998454e+001dB,-1.92656148404165e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
6.45654229034654e-003	(-1.63960212200704e+001dB,-1.97140185888386e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
6.60693448007594e-003	(-1.63962634288769e+001dB,-2.01728419901359e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
6.76082975391980e-003	(-1.63965170381555e+001dB,-2.06423259633400e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
6.91830970918934e-003	(-1.63967825837991e+001dB,-2.11227169118486e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
7.07945784384136e-003	(-1.63970606268219e+001dB,-2.16142668421081e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
7.24435960074988e-003	(-1.63973517545311e+001dB,-2.21172334844185e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
7.41310241300915e-003	(-1.63976565817510e+001dB,-2.26318804158638e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
7.58577575029181e-003	(-1.63979757521050e+001dB,-2.31584771853688e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
7.76247116628689e-003	(-1.63983099393557e+001dB,-2.36972994408805e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
7.94328234724279e-003	(-1.63986598488065e+001dB,-2.42486290586685e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
8.12830516164097e-003	(-1.63990262187678e+001dB,-2.48127542747326e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
8.31763771102668e-003	(-1.63994098220902e+001dB,-2.53899698183058e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
8.51138038202373e-003	(-1.63998114677677e+001dB,-2.59805770474314e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
8.70963589956078e-003	(-1.64002320026144e+001dB,-2.65848840865914e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
8.91250938133742e-003	(-1.64006723130171e+001dB,-2.72032059663558e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
