freq                    out
1.00000000000000e-001   -3.70476097766488e-004
1.02329299228075e-001   -3.87935318553926e-004
1.04712854805090e-001   -4.06217291840376e-004
1.07151930523761e-001   -4.25360785496107e-004
1.09647819614319e-001   -4.45406393771217e-004
1.12201845430196e-001   -4.66396623292845e-004
1.14815362149688e-001   -4.88375983118920e-004
1.17489755493953e-001   -5.11391079040972e-004
1.20226443461741e-001   -5.35490712292879e-004
1.23026877081238e-001   -5.60725982933429e-004
1.25892541179417e-001   -5.87150398078993e-004
1.28824955169313e-001   -6.14819985222508e-004
1.31825673855641e-001   -6.43793410888526e-004
1.34896288259165e-001   -6.74132104866480e-004
1.38038426460288e-001   -7.05900390290463e-004
1.41253754462275e-001   -7.39165619811722e-004
1.44543977074593e-001   -7.73998318209554e-004
1.47910838816821e-001   -8.10472331673568e-004
1.51356124843621e-001   -8.48664984115813e-004
1.54881661891248e-001   -8.88657240827054e-004
1.58489319246111e-001   -9.30533879821571e-004
1.62181009735893e-001   -9.74383671223709e-004
1.65958690743756e-001   -1.02029956510172e-003
1.69824365246174e-001   -1.06837888809097e-003
1.73780082874937e-001   -1.11872354928304e-003
1.77827941003892e-001   -1.17144025574922e-003
1.81970085860998e-001   -1.22664073821225e-003
1.86208713666287e-001   -1.28444198727697e-003
1.90546071796325e-001   -1.34496650077001e-003
1.94984459975804e-001   -1.40834254266654e-003
1.99526231496888e-001   -1.47470441416863e-003
2.04173794466953e-001   -1.54419273749122e-003
2.08929613085404e-001   -1.61695475295220e-003
2.13796208950223e-001   -1.69314462998641e-003
2.18776162394955e-001   -1.77292379272363e-003
2.23872113856834e-001   -1.85646126083674e-003
2.29086765276777e-001   -1.94393400632550e-003
2.34422881531992e-001   -2.03552732701920e-003
2.39883291901949e-001   -2.13143523755205e-003
2.45470891568503e-001   -2.23186087863498e-003
2.51188643150958e-001   -2.33701694545732e-003
2.57039578276886e-001   -2.44712613612021e-003
2.63026799189538e-001   -2.56242162103155e-003
2.69153480392691e-001   -2.68314753421907e-003
2.75422870333816e-001   -2.80955948757926e-003
2.81838293126445e-001   -2.94192510914966e-003
2.88403150312660e-001   -3.08052460645444e-003
2.95120922666638e-001   -3.22565135615790e-003
3.01995172040201e-001   -3.37761252116398e-003
3.09029543251359e-001   -3.53672969647842e-003
3.16227766016838e-001   -3.70333958512264e-003
3.23593656929628e-001   -3.87779470552490e-003
3.31131121482591e-001   -4.06046413175565e-003
3.38844156139202e-001   -4.25173426819195e-003
3.46736850452531e-001   -4.45200966015805e-003
3.54813389233575e-001   -4.66171384215089e-003
3.63078054770101e-001   -4.88129022541997e-003
3.71535229097172e-001   -5.11120302667169e-003
3.80189396320561e-001   -5.35193823974417e-003
3.89045144994280e-001   -5.60400465225272e-003
3.98107170553497e-001   -5.86793490920405e-003
4.07380277804112e-001   -6.14428662571231e-003
4.16869383470335e-001   -6.43364355104690e-003
4.26579518801592e-001   -6.73661678631398e-003
4.36515832240165e-001   -7.05384605817955e-003
4.46683592150962e-001   -7.38600105114273e-003
4.57088189614874e-001   -7.73378280101195e-003
4.67735141287197e-001   -8.09792515225317e-003
4.78630092322638e-001   -8.47919628210986e-003
4.89778819368445e-001   -8.87840029442129e-003
5.01187233627271e-001   -9.29637888623910e-003
5.12861383991364e-001   -9.73401309044430e-003
5.24807460249772e-001   -1.01922250976973e-002
5.37031796370252e-001   -1.06719801612048e-002
5.49540873857624e-001   -1.11742885879211e-002
5.62341325190348e-001   -1.17002078199138e-002
5.75439937337156e-001   -1.22508446098128e-002
5.88843655355588e-001   -1.28273572944033e-002
6.02559586074357e-001   -1.34309581705454e-002
6.16595001861481e-001   -1.40629159778044e-002
6.30957344480192e-001   -1.47245584923144e-002
6.45654229034654e-001   -1.54172752365685e-002
6.60693448007595e-001   -1.61425203099988e-002
6.76082975391981e-001   -1.69018153453963e-002
6.91830970918935e-001   -1.76967525963640e-002
7.07945784384137e-001   -1.85289981612031e-002
7.24435960074989e-001   -1.94002953488141e-002
7.41310241300916e-001   -2.03124681923583e-002
7.58577575029182e-001   -2.12674251166142e-002
7.76247116628690e-001   -2.22671627651614e-002
7.94328234724280e-001   -2.33137699936964e-002
8.12830516164098e-001   -2.44094320359645e-002
8.31763771102669e-001   -2.55564348489885e-002
8.51138038202375e-001   -2.67571696444553e-002
8.70963589956079e-001   -2.80141376132478e-002
8.91250938133744e-001   -2.93299548503806e-002
9.12010839355908e-001   -3.07073574876477e-002
9.33254300796989e-001   -3.21492070415281e-002
9.54992586021434e-001   -3.36584959840038e-002
9.77237220955809e-001   -3.52383535441072e-002
9.99999999999998e-001   -3.68920517480820e-002
1.02329299228075e+000   -3.86230117062307e-002
1.04712854805090e+000   -4.04348101545316e-002
1.07151930523760e+000   -4.23311862592095e-002
1.09647819614318e+000   -4.43160486924961e-002
1.12201845430196e+000   -4.63934829878094e-002
1.14815362149688e+000   -4.85677591825589e-002
1.17489755493953e+000   -5.08433397567749e-002
1.20226443461741e+000   -5.32248878756106e-002
1.23026877081238e+000   -5.57172759436648e-002
1.25892541179416e+000   -5.83255944788948e-002
1.28824955169313e+000   -6.10551613136349e-002
1.31825673855640e+000   -6.39115311299125e-002
1.34896288259165e+000   -6.69005053359453e-002
1.38038426460288e+000   -7.00281422902190e-002
1.41253754462275e+000   -7.33007678790306e-002
1.44543977074592e+000   -7.67249864527678e-002
1.47910838816820e+000   -8.03076921255187e-002
1.51356124843620e+000   -8.40560804417485e-002
1.54881661891248e+000   -8.79776604128639e-002
1.58489319246111e+000   -9.20802669254569e-002
1.62181009735892e+000   -9.63720735217970e-002
1.65958690743756e+000   -1.00861605551785e-001
1.69824365246174e+000   -1.05557753694164e-001
1.73780082874937e+000   -1.10469787842989e-001
1.77827941003892e+000   -1.15607371353641e-001
1.81970085860998e+000   -1.20980575640500e-001
1.86208713666286e+000   -1.26599895116221e-001
1.90546071796324e+000   -1.32476262460025e-001
1.94984459975804e+000   -1.38621064199703e-001
1.99526231496887e+000   -1.45046156589099e-001
2.04173794466952e+000   -1.51763881759555e-001
2.08929613085403e+000   -1.58787084120312e-001
2.13796208950223e+000   -1.66129126979058e-001
2.18776162394955e+000   -1.73803909349735e-001
2.23872113856833e+000   -1.81825882910235e-001
2.29086765276777e+000   -1.90210069067973e-001
2.34422881531991e+000   -1.98972076086140e-001
2.39883291901948e+000   -2.08128116218154e-001
2.45470891568502e+000   -2.17695022791973e-001
2.51188643150957e+000   -2.27690267179936e-001
2.57039578276886e+000   -2.38131975583301e-001
2.63026799189537e+000   -2.49038945553949e-001
2.69153480392691e+000   -2.60430662168597e-001
2.75422870333816e+000   -2.72327313763550e-001
2.81838293126444e+000   -2.84749807130306e-001
2.88403150312660e+000   -2.97719782064448e-001
2.95120922666637e+000   -3.11259625152144e-001
3.01995172040200e+000   -3.25392482670274e-001
3.09029543251358e+000   -3.40142272467837e-001
3.16227766016837e+000   -3.55533694687793e-001
3.23593656929627e+000   -3.71592241180143e-001
3.31131121482590e+000   -3.88344203448659e-001
3.38844156139201e+000   -4.05816678965708e-001
3.46736850452530e+000   -4.24037575681676e-001
3.54813389233574e+000   -4.43035614548343e-001
3.63078054770100e+000   -4.62840329868664e-001
3.71535229097171e+000   -4.83482067279527e-001
3.80189396320560e+000   -5.04991979168826e-001
3.89045144994279e+000   -5.27402017324222e-001
3.98107170553496e+000   -5.50744922608075e-001
4.07380277804111e+000   -5.75054211451816e-001
4.16869383470334e+000   -6.00364158963154e-001
4.26579518801591e+000   -6.26709778441821e-001
4.36515832240164e+000   -6.54126797103752e-001
4.46683592150961e+000   -6.82651627820106e-001
4.57088189614873e+000   -7.12321336686594e-001
4.67735141287196e+000   -7.43173606250354e-001
4.78630092322636e+000   -7.75246694236135e-001
4.89778819368444e+000   -8.08579387631393e-001
5.01187233627270e+000   -8.43210952010636e-001
5.12861383991363e+000   -8.79181076003742e-001
5.24807460249770e+000   -9.16529810840431e-001
5.37031796370250e+000   -9.55297504934279e-001
5.49540873857622e+000   -9.95524733503959e-001
5.62341325190346e+000   -1.03725222326736e+000
5.75439937337154e+000   -1.08052077228507e+000
5.88843655355586e+000   -1.12537116507376e+000
6.02559586074355e+000   -1.17184408315664e+000
6.16595001861479e+000   -1.21998001126713e+000
6.30957344480190e+000   -1.26981913947272e+000
6.45654229034652e+000   -1.32140126153824e+000
6.60693448007593e+000   -1.37476566990071e+000
6.76082975391978e+000   -1.42995104768086e+000
6.91830970918933e+000   -1.48699535820889e+000
7.07945784384134e+000   -1.54593573259265e+000
7.24435960074986e+000   -1.60680835590505e+000
7.41310241300914e+000   -1.66964835261279e+000
7.58577575029180e+000   -1.73448967190920e+000
7.76247116628688e+000   -1.80136497365049e+000
7.94328234724277e+000   -1.87030551562443e+000
8.12830516164095e+000   -1.94134104290389e+000
8.31763771102667e+000   -2.01449968005347e+000
8.51138038202372e+000   -2.08980782696497e+000
8.70963589956076e+000   -2.16729005909612e+000
8.91250938133741e+000   -2.24696903287677e+000
9.12010839355905e+000   -2.32886539702655e+000
9.33254300796986e+000   -2.41299771049859e+000
9.54992586021431e+000   -2.49938236772491e+000
9.77237220955806e+000   -2.58803353179054e+000
9.99999999999995e+000   -2.67896307610644e+000
1.02329299228075e+001   -2.77218053508579e+000
1.04712854805089e+001   -2.86769306425544e+000
1.07151930523760e+001   -2.96550541015530e+000
1.09647819614318e+001   -3.06561989029339e+000
1.12201845430196e+001   -3.16803638333644e+000
1.14815362149688e+001   -3.27275232962379e+000
1.17489755493952e+001   -3.37976274200017e+000
1.20226443461741e+001   -3.48906022686999e+000
1.23026877081237e+001   -3.60063501528479e+000
1.25892541179416e+001   -3.71447500378712e+000
1.28824955169313e+001   -3.83056580465014e+000
1.31825673855640e+001   -3.94889080507355e+000
1.34896288259165e+001   -4.06943123482443e+000
1.38038426460288e+001   -4.19216624174691e+000
1.41253754462275e+001   -4.31707297450829e+000
1.44543977074592e+001   -4.44412667190173e+000
1.47910838816820e+001   -4.57330075798775e+000
1.51356124843620e+001   -4.70456694232770e+000
1.54881661891247e+001   -4.83789532454398e+000
1.58489319246110e+001   -4.97325450243178e+000
1.62181009735892e+001   -5.11061168284708e+000
1.65958690743755e+001   -5.24993279460380e+000
1.69824365246173e+001   -5.39118260262980e+000
1.73780082874936e+001   -5.53432482265520e+000
1.77827941003891e+001   -5.67932223573732e+000
1.81970085860997e+001   -5.82613680196307e+000
1.86208713666286e+001   -5.97472977271116e+000
1.90546071796323e+001   -6.12506180090199e+000
1.94984459975803e+001   -6.27709304871198e+000
1.99526231496887e+001   -6.43078329227998e+000
2.04173794466952e+001   -6.58609202298578e+000
2.08929613085403e+001   -6.74297854493403e+000
2.13796208950222e+001   -6.90140206832939e+000
2.18776162394954e+001   -7.06132179848121e+000
2.23872113856832e+001   -7.22269702022650e+000
2.29086765276776e+001   -7.38548717760871e+000
2.34422881531991e+001   -7.54965194869641e+000
2.39883291901947e+001   -7.71515131546951e+000
2.45470891568501e+001   -7.88194562874124e+000
2.51188643150956e+001   -8.04999566812189e+000
2.57039578276885e+001   -8.21926269706413e+000
2.63026799189536e+001   -8.38970851306050e+000
2.69153480392690e+001   -8.56129549309110e+000
2.75422870333815e+001   -8.73398663444327e+000
2.81838293126443e+001   -8.90774559104552e+000
2.88403150312659e+001   -9.08253670547564e+000
2.95120922666636e+001   -9.25832503681694e+000
3.01995172040199e+001   -9.43507638454826e+000
3.09029543251357e+001   -9.61275730866205e+000
3.16227766016836e+001   -9.79133514621107e+000
3.23593656929626e+001   -9.97077802448860e+000
3.31131121482589e+001   -1.01510548710484e+001
3.38844156139200e+001   -1.03321354207716e+001
3.46736850452529e+001   -1.05139902201855e+001
3.54813389233573e+001   -1.06965906292364e+001
3.63078054770099e+001   -1.08799088207154e+001
3.71535229097170e+001   -1.10639177775292e+001
3.80189396320558e+001   -1.12485912880028e+001
3.89045144994278e+001   -1.14339039393952e+001
3.98107170553494e+001   -1.16198311097995e+001
4.07380277804110e+001   -1.18063489585925e+001
4.16869383470332e+001   -1.19934344155912e+001
4.26579518801589e+001   -1.21810651690639e+001
4.36515832240163e+001   -1.23692196527363e+001
4.46683592150960e+001   -1.25578770319233e+001
4.57088189614871e+001   -1.27470171889113e+001
4.67735141287194e+001   -1.29366207077039e+001
4.78630092322634e+001   -1.31266688582395e+001
4.89778819368442e+001   -1.33171435801781e+001
5.00000000000000e+001   -1.34883481023024e+001
