freq                    noise
1.000000000000000e-001  4.936068e-008
1.023292992280754e-001  4.936058e-008
1.047128548050900e-001  4.936048e-008
1.071519305237607e-001  4.936037e-008
1.096478196143185e-001  4.936026e-008
1.122018454301964e-001  4.936014e-008
1.148153621496883e-001  4.936001e-008
1.174897554939530e-001  4.935988e-008
1.202264434617413e-001  4.935974e-008
1.230268770812382e-001  4.935960e-008
1.258925411794167e-001  4.935945e-008
1.288249551693134e-001  4.935929e-008
1.318256738556407e-001  4.935913e-008
1.348962882591653e-001  4.935896e-008
1.380384264602884e-001  4.935878e-008
1.412537544622754e-001  4.935859e-008
1.445439770745927e-001  4.935839e-008
1.479108388168207e-001  4.935818e-008
1.513561248436207e-001  4.935796e-008
1.548816618912480e-001  4.935774e-008
1.584893192461112e-001  4.935750e-008
1.621810097358929e-001  4.935725e-008
1.659586907437559e-001  4.935699e-008
1.698243652461743e-001  4.935672e-008
1.737800828749374e-001  4.935643e-008
1.778279410038921e-001  4.935613e-008
1.819700858609982e-001  4.935582e-008
1.862087136662866e-001  4.935549e-008
1.905460717963245e-001  4.935514e-008
1.949844599758043e-001  4.935479e-008
1.995262314968878e-001  4.935441e-008
2.041737944669527e-001  4.935401e-008
2.089296130854037e-001  4.935360e-008
2.137962089502230e-001  4.935317e-008
2.187761623949550e-001  4.935271e-008
2.238721138568337e-001  4.935224e-008
2.290867652767770e-001  4.935174e-008
2.344228815319919e-001  4.935122e-008
2.398832919019487e-001  4.935068e-008
2.454708915685027e-001  4.935011e-008
2.511886431509577e-001  4.934951e-008
2.570395782768861e-001  4.934888e-008
2.630267991895379e-001  4.934823e-008
2.691534803926912e-001  4.934754e-008
2.754228703338163e-001  4.934682e-008
2.818382931264450e-001  4.934607e-008
2.884031503126602e-001  4.934529e-008
2.951209226666382e-001  4.934446e-008
3.019951720402012e-001  4.934360e-008
3.090295432513586e-001  4.934269e-008
3.162277660168375e-001  4.934175e-008
3.235936569296278e-001  4.934076e-008
3.311311214825907e-001  4.933972e-008
3.388441561392021e-001  4.933863e-008
3.467368504525312e-001  4.933749e-008
3.548133892335750e-001  4.933630e-008
3.630780547701009e-001  4.933506e-008
3.715352290971720e-001  4.933375e-008
3.801893963205607e-001  4.933238e-008
3.890451449942800e-001  4.933095e-008
3.981071705534967e-001  4.932945e-008
4.073802778041121e-001  4.932788e-008
4.168693834703348e-001  4.932624e-008
4.265795188015920e-001  4.932452e-008
4.365158322401653e-001  4.932272e-008
4.466835921509624e-001  4.932083e-008
4.570881896148742e-001  4.931886e-008
4.677351412871974e-001  4.931679e-008
4.786300923226375e-001  4.931463e-008
4.897788193684454e-001  4.931236e-008
5.011872336272715e-001  4.930999e-008
5.128613839913641e-001  4.930750e-008
5.248074602497718e-001  4.930490e-008
5.370317963702519e-001  4.930218e-008
5.495408738576236e-001  4.929932e-008
5.623413251903481e-001  4.929634e-008
5.754399373371559e-001  4.929321e-008
5.888436553555879e-001  4.928994e-008
6.025595860743567e-001  4.928652e-008
6.165950018614811e-001  4.928293e-008
6.309573444801921e-001  4.927918e-008
6.456542290346544e-001  4.927525e-008
6.606934480075949e-001  4.927113e-008
6.760829753919806e-001  4.926683e-008
6.918309709189353e-001  4.926232e-008
7.079457843841367e-001  4.925760e-008
7.244359600749888e-001  4.925266e-008
7.413102413009162e-001  4.924749e-008
7.585775750291823e-001  4.924207e-008
7.762471166286903e-001  4.923641e-008
7.943282347242799e-001  4.923047e-008
8.128305161640976e-001  4.922426e-008
8.317637711026693e-001  4.921776e-008
8.511380382023747e-001  4.921096e-008
8.709635899560788e-001  4.920384e-008
8.912509381337437e-001  4.919638e-008
9.120108393559078e-001  4.918858e-008
9.332543007969890e-001  4.918042e-008
9.549925860214339e-001  4.917187e-008
9.772372209558086e-001  4.916293e-008
9.999999999999978e-001  4.915357e-008
1.023292992280752e+000  4.914378e-008
1.047128548050897e+000  4.913353e-008
1.071519305237604e+000  4.912280e-008
1.096478196143182e+000  4.911158e-008
1.122018454301961e+000  4.909983e-008
1.148153621496880e+000  4.908754e-008
1.174897554939527e+000  4.907469e-008
1.202264434617410e+000  4.906123e-008
1.230268770812378e+000  4.904716e-008
1.258925411794164e+000  4.903243e-008
1.288249551693131e+000  4.901702e-008
1.318256738556404e+000  4.900091e-008
1.348962882591650e+000  4.898405e-008
1.380384264602881e+000  4.896641e-008
1.412537544622750e+000  4.894796e-008
1.445439770745923e+000  4.892867e-008
1.479108388168203e+000  4.890849e-008
1.513561248436204e+000  4.888739e-008
1.548816618912477e+000  4.886532e-008
1.584893192461109e+000  4.884225e-008
1.621810097358925e+000  4.881812e-008
1.659586907437555e+000  4.879290e-008
1.698243652461739e+000  4.876652e-008
1.737800828749370e+000  4.873895e-008
1.778279410038917e+000  4.871013e-008
1.819700858609977e+000  4.868001e-008
1.862087136662861e+000  4.864853e-008
1.905460717963241e+000  4.861563e-008
1.949844599758039e+000  4.858124e-008
1.995262314968873e+000  4.854532e-008
2.041737944669523e+000  4.850779e-008
2.089296130854033e+000  4.846858e-008
2.137962089502225e+000  4.842763e-008
2.187761623949545e+000  4.838486e-008
