freq                    out                     ref
1.00000000000000e-003   -1.63910021423523e+001  -1.63908787108374e+001
1.02329299228075e-003   -1.63910079594138e+001  -1.63908787108374e+001
1.04712854805090e-003   -1.63910140506167e+001  -1.63908787108374e+001
1.07151930523761e-003   -1.63910204288799e+001  -1.63908787108374e+001
1.09647819614318e-003   -1.63910271077314e+001  -1.63908787108374e+001
1.12201845430196e-003   -1.63910341013364e+001  -1.63908787108374e+001
1.14815362149688e-003   -1.63910414245278e+001  -1.63908787108374e+001
1.17489755493953e-003   -1.63910490928374e+001  -1.63908787108374e+001
1.20226443461741e-003   -1.63910571225287e+001  -1.63908787108374e+001
1.23026877081238e-003   -1.63910655306318e+001  -1.63908787108374e+001
1.25892541179417e-003   -1.63910743349792e+001  -1.63908787108374e+001
1.28824955169313e-003   -1.63910835542435e+001  -1.63908787108374e+001
1.31825673855641e-003   -1.63910932079774e+001  -1.63908787108374e+001
1.34896288259165e-003   -1.63911033166548e+001  -1.63908787108374e+001
1.38038426460288e-003   -1.63911139017143e+001  -1.63908787108374e+001
1.41253754462275e-003   -1.63911249856045e+001  -1.63908787108374e+001
1.44543977074593e-003   -1.63911365918322e+001  -1.63908787108374e+001
1.47910838816821e-003   -1.63911487450112e+001  -1.63908787108374e+001
1.51356124843621e-003   -1.63911614709154e+001  -1.63908787108374e+001
1.54881661891248e-003   -1.63911747965331e+001  -1.63908787108374e+001
1.58489319246111e-003   -1.63911887501240e+001  -1.63908787108374e+001
1.62181009735893e-003   -1.63912033612792e+001  -1.63908787108374e+001
1.65958690743756e-003   -1.63912186609844e+001  -1.63908787108374e+001
1.69824365246174e-003   -1.63912346816846e+001  -1.63908787108374e+001
1.73780082874937e-003   -1.63912514573539e+001  -1.63908787108374e+001
1.77827941003892e-003   -1.63912690235666e+001  -1.63908787108374e+001
1.81970085860998e-003   -1.63912874175733e+001  -1.63908787108374e+001
1.86208713666287e-003   -1.63913066783794e+001  -1.63908787108374e+001
1.90546071796324e-003   -1.63913268468276e+001  -1.63908787108374e+001
1.94984459975804e-003   -1.63913479656852e+001  -1.63908787108374e+001
1.99526231496888e-003   -1.63913700797338e+001  -1.63908787108374e+001
2.04173794466953e-003   -1.63913932358647e+001  -1.63908787108374e+001
2.08929613085404e-003   -1.63914174831782e+001  -1.63908787108374e+001
2.13796208950223e-003   -1.63914428730872e+001  -1.63908787108374e+001
2.18776162394955e-003   -1.63914694594266e+001  -1.63908787108374e+001
2.23872113856834e-003   -1.63914972985672e+001  -1.63908787108374e+001
2.29086765276777e-003   -1.63915264495348e+001  -1.63908787108374e+001
2.34422881531992e-003   -1.63915569741355e+001  -1.63908787108374e+001
2.39883291901949e-003   -1.63915889370863e+001  -1.63908787108374e+001
2.45470891568503e-003   -1.63916224061525e+001  -1.63908787108374e+001
2.51188643150958e-003   -1.63916574522906e+001  -1.63908787108374e+001
2.57039578276886e-003   -1.63916941497993e+001  -1.63908787108374e+001
2.63026799189538e-003   -1.63917325764760e+001  -1.63908787108374e+001
2.69153480392691e-003   -1.63917728137817e+001  -1.63908787108374e+001
2.75422870333816e-003   -1.63918149470136e+001  -1.63908787108374e+001
2.81838293126445e-003   -1.63918590654855e+001  -1.63908787108374e+001
2.88403150312660e-003   -1.63919052627166e+001  -1.63908787108374e+001
2.95120922666638e-003   -1.63919536366293e+001  -1.63908787108374e+001
