time                    out
0.000000000000000e+000  0.000000e+000
1.000000000000000e+000  0.000000e+000
1.000006843346670e+000  4.032643e-006
1.000020530040011e+000  1.209783e-005
1.031151631983412e+000  1.796668e-002
1.062282733926812e+000  3.532896e-002
1.093413835870212e+000  5.209894e-002
1.124544937813613e+000  6.827663e-002
1.155676039757013e+000  8.386202e-002
1.186807141700413e+000  9.885510e-002
1.217938243643813e+000  1.132559e-001
1.283228422215242e+000  1.415494e-001
1.348518600786671e+000  1.680814e-001
1.413808779358099e+000  1.928521e-001
1.479098957929528e+000  2.158613e-001
1.544389136500956e+000  2.371090e-001
1.609679315072385e+000  2.565953e-001
1.674969493643813e+000  2.743202e-001
1.778764136500956e+000  2.995859e-001
1.882558779358099e+000  3.226120e-001
1.986353422215242e+000  3.433984e-001
2.090148065072385e+000  3.619452e-001
2.193942707929528e+000  3.782523e-001
2.297737350786671e+000  3.923199e-001
2.401531993643813e+000  4.041477e-001
2.563920386500956e+000  4.198789e-001
2.726308779358099e+000  4.337353e-001
2.888697172215242e+000  4.457168e-001
3.051085565072385e+000  4.558234e-001
3.213473957929528e+000  4.640552e-001
3.375862350786671e+000  4.704121e-001
3.538250743643813e+000  4.748942e-001
3.810293154358099e+000  4.809372e-001
4.082335565072385e+000  4.860346e-001
4.354377975786671e+000  4.901865e-001
4.626420386500956e+000  4.933929e-001
4.898462797215242e+000  4.956538e-001
5.170505207929528e+000  4.969691e-001
5.442547618643813e+000  4.973389e-001
5.799969493643813e+000  4.982537e-001
5.999188243643813e+000  4.986192e-001
6.000000000000000e+000  4.986205e-001
