thresh,time,voltage
1.8,9.990485759703450e-01,1.814142e+00
1.801,9.990485759703450e-01,1.815142e+00
1.802,9.990485759703450e-01,1.816142e+00
1.803,9.990485759703450e-01,1.817142e+00
1.804,9.990485759703450e-01,1.818142e+00
1.805,9.990485759703450e-01,1.819142e+00
1.806,9.990485759703450e-01,1.820142e+00
1.807,9.990485759703450e-01,1.821142e+00
1.808,9.990485759703450e-01,1.822142e+00
1.809,9.990485759703450e-01,1.823142e+00
1.81,9.990485759703450e-01,1.824142e+00
1.811,9.990485759703450e-01,1.825142e+00
1.812,9.990485759703450e-01,1.826142e+00
1.813,9.990485759703450e-01,1.827142e+00
1.814,9.990485759703450e-01,1.828142e+00
1.815,9.990485759703450e-01,1.829142e+00
1.816,9.990485759703450e-01,1.830142e+00
1.817,9.990485759703450e-01,1.831142e+00
1.818,9.990485759703450e-01,1.832142e+00
1.819,9.990485759703450e-01,1.833142e+00
1.82,9.990485759703450e-01,1.834142e+00
1.821,9.990485759703450e-01,1.835142e+00
1.822,9.990485759703450e-01,1.836142e+00
1.823,9.990485759703450e-01,1.837142e+00
1.824,9.990485759703450e-01,1.838142e+00
1.825,9.990485759703450e-01,1.839142e+00
1.826,9.990485759703450e-01,1.840142e+00
1.827,9.990485759703450e-01,1.841142e+00
1.828,9.990485759703450e-01,1.842142e+00
1.829,9.990485759703450e-01,1.843142e+00
1.83,9.990485759703450e-01,1.844142e+00
1.831,9.990485759703450e-01,1.845142e+00
1.832,9.990485759703450e-01,1.846142e+00
1.833,9.990485759703450e-01,1.847142e+00
1.834,9.990485759703450e-01,1.848142e+00
1.835,9.990485759703450e-01,1.849142e+00
1.836,9.990485759703450e-01,1.850142e+00
1.837,9.990485759703450e-01,1.851142e+00
1.838,9.990485759703450e-01,1.852142e+00
1.839,9.990485759703450e-01,1.853142e+00
1.84,9.990485759703450e-01,1.854142e+00
1.841,9.990485759703450e-01,1.855142e+00
1.842,9.990485759703450e-01,1.856142e+00
1.843,9.990485759703450e-01,1.857142e+00
1.844,9.990485759703450e-01,1.858142e+00
1.845,9.990485759703450e-01,1.859142e+00
1.846,9.990485759703450e-01,1.860142e+00
1.847,9.990485759703450e-01,1.861142e+00
1.848,9.990485759703450e-01,1.862142e+00
1.849,9.990485759703450e-01,1.863142e+00
1.85,9.990485759703450e-01,1.864142e+00
1.851,9.990485759703450e-01,1.865142e+00
1.852,9.990485759703450e-01,1.866142e+00
1.853,9.990485759703450e-01,1.867142e+00
1.854,9.990485759703450e-01,1.868142e+00
1.855,9.990485759703450e-01,1.869142e+00
1.856,9.990485759703450e-01,1.870142e+00
1.857,9.990485759703450e-01,1.871142e+00
1.858,9.990485759703450e-01,1.872142e+00
1.859,9.990485759703450e-01,1.873142e+00
1.86,9.990485759703450e-01,1.874142e+00
1.861,9.990485759703450e-01,1.875142e+00
1.862,9.990485759703450e-01,1.876142e+00
1.863,9.990485759703450e-01,1.877142e+00
1.864,9.990485759703450e-01,1.878142e+00
1.865,9.990485759703450e-01,1.879142e+00
1.866,9.990485759703450e-01,1.880142e+00
1.867,9.990485759703450e-01,1.881142e+00
1.868,9.990485759703450e-01,1.882142e+00
1.869,9.990485759703450e-01,1.883142e+00
1.87,9.990485759703450e-01,1.884142e+00
1.871,9.990485759703450e-01,1.885142e+00
1.872,9.990485759703450e-01,1.886142e+00
1.873,9.990485759703450e-01,1.887142e+00
1.874,9.990485759703450e-01,1.888142e+00
1.875,9.990485759703450e-01,1.889142e+00
1.876,9.990485759703450e-01,1.890142e+00
1.877,9.990485759703450e-01,1.891142e+00
1.878,9.990485759703450e-01,1.892142e+00
1.879,9.990485759703450e-01,1.893142e+00
1.88,9.990485759703450e-01,1.894142e+00
1.881,9.990485759703450e-01,1.895142e+00
1.882,9.990485759703450e-01,1.896142e+00
1.883,9.990485759703450e-01,1.897142e+00
1.884,9.990485759703450e-01,1.898142e+00
1.885,9.990485759703450e-01,1.899142e+00
1.886,9.990485759703450e-01,1.900142e+00
1.887,9.990485759703450e-01,1.901142e+00
1.888,9.990485759703450e-01,1.902142e+00
1.889,9.990485759703450e-01,1.903142e+00
1.89,9.990485759703450e-01,1.904142e+00
1.891,9.990485759703450e-01,1.905142e+00
1.892,9.990485759703450e-01,1.906142e+00
1.893,9.990485759703450e-01,1.907142e+00
1.894,9.990485759703450e-01,1.908142e+00
1.895,9.990485759703450e-01,1.909142e+00
1.896,9.990485759703450e-01,1.910142e+00
1.897,9.990485759703450e-01,1.911142e+00
1.898,9.990485759703450e-01,1.912142e+00
1.899,9.990485759703450e-01,1.913142e+00
1.9,9.990485759703450e-01,1.914142e+00
1.901,9.990485759703450e-01,1.915142e+00
1.902,9.990485759703450e-01,1.916142e+00
1.903,9.990485759703450e-01,1.917142e+00
1.904,9.990485759703450e-01,1.918142e+00
1.905,9.990485759703450e-01,1.919142e+00
1.906,9.990485759703450e-01,1.920142e+00
1.907,9.990485759703450e-01,1.921142e+00
1.908,9.990485759703450e-01,1.922142e+00
1.909,9.990485759703450e-01,1.923142e+00
1.91,9.990485759703450e-01,1.924142e+00
1.911,9.990485759703450e-01,1.925142e+00
1.912,9.990485759703450e-01,1.926142e+00
1.913,9.990485759703450e-01,1.927142e+00
1.914,9.990485759703450e-01,1.928142e+00
1.915,9.990485759703450e-01,1.929142e+00
1.916,9.990485759703450e-01,1.930142e+00
1.917,9.990485759703450e-01,1.931142e+00
1.918,9.990485759703450e-01,1.932142e+00
1.919,9.990485759703450e-01,1.933142e+00
1.92,9.990485759703450e-01,1.934142e+00
1.921,9.990485759703450e-01,1.935142e+00
1.922,9.990485759703450e-01,1.936142e+00
1.923,9.990485759703450e-01,1.937142e+00
1.924,9.990485759703450e-01,1.938142e+00
1.925,9.990485759703450e-01,1.939142e+00
1.926,9.990485759703450e-01,1.940142e+00
1.927,9.990485759703450e-01,1.941142e+00
1.928,9.990485759703450e-01,1.942142e+00
1.929,9.990485759703450e-01,1.943142e+00
1.93,9.990485759703450e-01,1.944142e+00
1.931,9.990485759703450e-01,1.945142e+00
1.932,9.990485759703450e-01,1.946142e+00
1.933,9.990485759703450e-01,1.947142e+00
1.934,9.990485759703450e-01,1.948142e+00
1.935,9.990485759703450e-01,1.949142e+00
1.936,9.990485759703450e-01,1.950142e+00
1.937,9.990485759703450e-01,1.951142e+00
1.938,9.990485759703450e-01,1.952142e+00
1.939,9.990485759703450e-01,1.953142e+00
1.94,9.990485759703450e-01,1.954142e+00
1.941,9.990485759703450e-01,1.955142e+00
1.942,9.990485759703450e-01,1.956142e+00
1.943,9.990485759703450e-01,1.957142e+00
1.944,9.990485759703450e-01,1.958142e+00
1.945,9.990485759703450e-01,1.959142e+00
1.946,9.990485759703450e-01,1.960142e+00
1.947,9.990485759703450e-01,1.961142e+00
1.948,9.990485759703450e-01,1.962142e+00
1.949,9.990485759703450e-01,1.963142e+00
1.95,9.990485759703450e-01,1.964142e+00
1.951,9.990485759703450e-01,1.965142e+00
1.952,9.990485759703450e-01,1.966142e+00
1.953,9.990485759703450e-01,1.967142e+00
1.954,9.990485759703450e-01,1.968142e+00
1.955,9.990485759703450e-01,1.969142e+00
1.956,9.990485759703450e-01,1.970142e+00
1.957,9.990485759703450e-01,1.971142e+00
1.958,9.990485759703450e-01,1.972142e+00
1.959,9.990485759703450e-01,1.973142e+00
1.96,9.990485759703450e-01,1.974142e+00
1.961,9.990485759703450e-01,1.975142e+00
1.962,9.990485759703450e-01,1.976142e+00
1.963,9.990485759703450e-01,1.977142e+00
1.964,9.990485759703450e-01,1.978142e+00
1.965,9.990485759703450e-01,1.979142e+00
1.966,9.990485759703450e-01,1.980142e+00
1.967,9.990485759703450e-01,1.981142e+00
1.968,9.990485759703450e-01,1.982142e+00
1.969,9.990485759703450e-01,1.983142e+00
1.97,9.990485759703450e-01,1.984142e+00
1.971,9.990485759703450e-01,1.985142e+00
1.972,9.990485759703450e-01,1.986142e+00
1.973,9.990485759703450e-01,1.987142e+00
1.974,9.990485759703450e-01,1.988142e+00
1.975,9.990485759703450e-01,1.989142e+00
1.976,9.990485759703450e-01,1.990142e+00
1.977,9.990485759703450e-01,1.991142e+00
1.978,9.990485759703450e-01,1.992142e+00
1.979,9.990485759703450e-01,1.993142e+00
1.98,9.990485759703450e-01,1.994142e+00
1.981,9.990485759703450e-01,1.995142e+00
1.982,9.990485759703450e-01,1.996142e+00
1.983,9.990485759703450e-01,1.997142e+00
1.984,9.990485759703450e-01,1.998142e+00
1.985,9.990485759703450e-01,1.999142e+00
1.986,9.990485759703450e-01,2.000142e+00
1.987,9.990485759703450e-01,2.001142e+00
1.988,9.990485759703450e-01,2.002142e+00
1.989,9.990485759703450e-01,2.003142e+00
1.99,9.990485759703450e-01,2.004142e+00
1.991,9.990485759703450e-01,2.005142e+00
1.992,9.990485759703450e-01,2.006142e+00
1.993,9.990485759703450e-01,2.007142e+00
1.994,9.990485759703450e-01,2.008142e+00
1.995,9.990485759703450e-01,2.009142e+00
1.996,9.990485759703450e-01,2.010142e+00
1.997,9.990485759703450e-01,2.011142e+00
1.998,9.990485759703450e-01,2.012142e+00
1.999,9.990485759703450e-01,2.013142e+00
2,9.990485759703450e-01,2.014142e+00
2.001,9.990485759703450e-01,2.015142e+00
2.002,9.990485759703450e-01,2.016142e+00
2.003,9.990485759703450e-01,2.017142e+00
2.004,9.990485759703450e-01,2.018142e+00
2.005,9.990485759703450e-01,2.019142e+00
2.006,9.990485759703450e-01,2.020142e+00
2.007,9.990485759703450e-01,2.021142e+00
2.008,9.990485759703450e-01,2.022142e+00
2.009,9.990485759703450e-01,2.023142e+00
2.01,9.990485759703450e-01,2.024142e+00
2.011,9.990485759703450e-01,2.025142e+00
2.012,9.990485759703450e-01,2.026142e+00
2.013,9.990485759703450e-01,2.027142e+00
2.014,9.990485759703450e-01,2.028142e+00
2.015,9.990485759703450e-01,2.029142e+00
2.016,9.990485759703450e-01,2.030142e+00
2.017,9.990485759703450e-01,2.031142e+00
2.018,9.990485759703450e-01,2.032142e+00
2.019,9.990485759703450e-01,2.033142e+00
2.02,9.990485759703450e-01,2.034142e+00
2.021,9.990485759703450e-01,2.035142e+00
2.022,9.990485759703450e-01,2.036142e+00
2.023,9.990485759703450e-01,2.037142e+00
2.024,9.990485759703450e-01,2.038142e+00
2.025,9.990485759703450e-01,2.039142e+00
2.026,9.990485759703450e-01,2.040142e+00
2.027,9.990485759703450e-01,2.041142e+00
2.028,9.990485759703450e-01,2.042142e+00
2.029,9.990485759703450e-01,2.043142e+00
2.03,9.990485759703450e-01,2.044142e+00
2.031,9.990485759703450e-01,2.045142e+00
2.032,9.990485759703450e-01,2.046142e+00
2.033,9.990485759703450e-01,2.047142e+00
2.034,9.990485759703450e-01,2.048142e+00
2.035,9.990485759703450e-01,2.049142e+00
2.036,9.990485759703450e-01,2.050142e+00
2.037,9.990485759703450e-01,2.051142e+00
2.038,9.990485759703450e-01,2.052142e+00
2.039,9.990485759703450e-01,2.053142e+00
2.04,9.990485759703450e-01,2.054142e+00
2.041,9.990485759703450e-01,2.055142e+00
2.042,9.990485759703450e-01,2.056142e+00
2.043,9.990485759703450e-01,2.057142e+00
2.044,9.990485759703450e-01,2.058142e+00
2.045,9.990485759703450e-01,2.059142e+00
2.046,9.990485759703450e-01,2.060142e+00
2.047,9.990485759703450e-01,2.061142e+00
2.048,9.990485759703450e-01,2.062142e+00
2.049,9.990485759703450e-01,2.063142e+00
2.05,9.990485759703450e-01,2.064142e+00
2.051,9.990485759703450e-01,2.065142e+00
2.052,9.990485759703450e-01,2.066142e+00
2.053,9.990485759703450e-01,2.067142e+00
2.054,9.990485759703450e-01,2.068142e+00
2.055,9.990485759703450e-01,2.069142e+00
2.056,9.990485759703450e-01,2.070142e+00
2.057,9.990485759703450e-01,2.071142e+00
2.058,9.990485759703450e-01,2.072142e+00
2.059,9.990485759703450e-01,2.073142e+00
2.06,9.990485759703450e-01,2.074142e+00
2.061,9.990485759703450e-01,2.075142e+00
2.062,9.990485759703450e-01,2.076142e+00
2.063,9.990485759703450e-01,2.077142e+00
2.064,9.990485759703450e-01,2.078142e+00
2.065,9.990485759703450e-01,2.079142e+00
2.066,9.990485759703450e-01,2.080142e+00
2.067,9.990485759703450e-01,2.081142e+00
2.068,9.990485759703450e-01,2.082142e+00
2.069,9.990485759703450e-01,2.083142e+00
2.07,9.990485759703450e-01,2.084142e+00
2.071,9.990485759703450e-01,2.085142e+00
2.072,9.990485759703450e-01,2.086142e+00
2.073,9.990485759703450e-01,2.087142e+00
2.074,9.990485759703450e-01,2.088142e+00
2.075,9.990485759703450e-01,2.089142e+00
2.076,9.990485759703450e-01,2.090142e+00
2.077,9.990485759703450e-01,2.091142e+00
2.078,9.990485759703450e-01,2.092142e+00
2.079,9.990485759703450e-01,2.093142e+00
2.08,9.990485759703450e-01,2.094142e+00
2.081,9.990485759703450e-01,2.095142e+00
2.082,9.990485759703450e-01,2.096142e+00
2.083,9.990485759703450e-01,2.097142e+00
2.084,9.990485759703450e-01,2.098142e+00
2.085,9.990485759703450e-01,2.099142e+00
2.086,9.990485759703450e-01,2.100142e+00
2.087,9.990485759703450e-01,2.101142e+00
2.088,9.990485759703450e-01,2.102142e+00
2.089,9.990485759703450e-01,2.103142e+00
2.09,9.990485759703450e-01,2.104142e+00
2.091,9.990485759703450e-01,2.105142e+00
2.092,9.990485759703450e-01,2.106142e+00
2.093,9.990485759703450e-01,2.107142e+00
2.094,9.990485759703450e-01,2.108142e+00
2.095,9.990485759703450e-01,2.109142e+00
2.096,9.990485759703450e-01,2.110142e+00
2.097,9.990485759703450e-01,2.111142e+00
2.098,9.990485759703450e-01,2.112142e+00
2.099,9.990485759703450e-01,2.113142e+00
2.1,9.990485759703450e-01,2.114142e+00
2.101,9.990485759703450e-01,2.115142e+00
2.102,9.990485759703450e-01,2.116142e+00
2.103,9.990485759703450e-01,2.117142e+00
2.104,9.990485759703450e-01,2.118142e+00
2.105,9.990485759703450e-01,2.119142e+00
2.106,9.990485759703450e-01,2.120142e+00
2.107,9.990485759703450e-01,2.121142e+00
2.108,9.990485759703450e-01,2.122142e+00
2.109,9.990485759703450e-01,2.123142e+00
2.11,9.990485759703450e-01,2.124142e+00
2.111,9.990485759703450e-01,2.125142e+00
2.112,9.990485759703450e-01,2.126142e+00
2.113,9.990485759703450e-01,2.127142e+00
2.114,9.990485759703450e-01,2.128142e+00
2.115,9.990485759703450e-01,2.129142e+00
2.116,9.990485759703450e-01,2.130142e+00
2.117,9.990485759703450e-01,2.131142e+00
2.118,9.990485759703450e-01,2.132142e+00
