time	V(g)
Step Information: Thresholdvoltage=1.8  (Step: 1/401)
0.000000000000000e+00	1.814142e+00
9.990485759703450e-01	1.814142e+00
1.000000000000000e+00	1.814142e+00
Step Information: Thresholdvoltage=1.801  (Step: 2/401)
0.000000000000000e+00	1.815142e+00
9.990485759703450e-01	1.815142e+00
1.000000000000000e+00	1.815142e+00
Step Information: Thresholdvoltage=1.802  (Step: 3/401)
0.000000000000000e+00	1.816142e+00
9.990485759703450e-01	1.816142e+00
1.000000000000000e+00	1.816142e+00
Step Information: Thresholdvoltage=1.803  (Step: 4/401)
0.000000000000000e+00	1.817142e+00
9.990485759703450e-01	1.817142e+00
1.000000000000000e+00	1.817142e+00
Step Information: Thresholdvoltage=1.804  (Step: 5/401)
0.000000000000000e+00	1.818142e+00
9.990485759703450e-01	1.818142e+00
1.000000000000000e+00	1.818142e+00
Step Information: Thresholdvoltage=1.805  (Step: 6/401)
0.000000000000000e+00	1.819142e+00
9.990485759703450e-01	1.819142e+00
1.000000000000000e+00	1.819142e+00
Step Information: Thresholdvoltage=1.806  (Step: 7/401)
0.000000000000000e+00	1.820142e+00
9.990485759703450e-01	1.820142e+00
1.000000000000000e+00	1.820142e+00
Step Information: Thresholdvoltage=1.807  (Step: 8/401)
0.000000000000000e+00	1.821142e+00
9.990485759703450e-01	1.821142e+00
1.000000000000000e+00	1.821142e+00
Step Information: Thresholdvoltage=1.808  (Step: 9/401)
0.000000000000000e+00	1.822142e+00
9.990485759703450e-01	1.822142e+00
1.000000000000000e+00	1.822142e+00
Step Information: Thresholdvoltage=1.809  (Step: 10/401)
0.000000000000000e+00	1.823142e+00
9.990485759703450e-01	1.823142e+00
1.000000000000000e+00	1.823142e+00
Step Information: Thresholdvoltage=1.81  (Step: 11/401)
0.000000000000000e+00	1.824142e+00
9.990485759703450e-01	1.824142e+00
1.000000000000000e+00	1.824142e+00
Step Information: Thresholdvoltage=1.811  (Step: 12/401)
0.000000000000000e+00	1.825142e+00
9.990485759703450e-01	1.825142e+00
1.000000000000000e+00	1.825142e+00
Step Information: Thresholdvoltage=1.812  (Step: 13/401)
0.000000000000000e+00	1.826142e+00
9.990485759703450e-01	1.826142e+00
1.000000000000000e+00	1.826142e+00
Step Information: Thresholdvoltage=1.813  (Step: 14/401)
0.000000000000000e+00	1.827142e+00
9.990485759703450e-01	1.827142e+00
1.000000000000000e+00	1.827142e+00
Step Information: Thresholdvoltage=1.814  (Step: 15/401)
0.000000000000000e+00	1.828142e+00
9.990485759703450e-01	1.828142e+00
1.000000000000000e+00	1.828142e+00
Step Information: Thresholdvoltage=1.815  (Step: 16/401)
0.000000000000000e+00	1.829142e+00
9.990485759703450e-01	1.829142e+00
1.000000000000000e+00	1.829142e+00
Step Information: Thresholdvoltage=1.816  (Step: 17/401)
0.000000000000000e+00	1.830142e+00
9.990485759703450e-01	1.830142e+00
1.000000000000000e+00	1.830142e+00
Step Information: Thresholdvoltage=1.817  (Step: 18/401)
0.000000000000000e+00	1.831142e+00
9.990485759703450e-01	1.831142e+00
1.000000000000000e+00	1.831142e+00
Step Information: Thresholdvoltage=1.818  (Step: 19/401)
0.000000000000000e+00	1.832142e+00
9.990485759703450e-01	1.832142e+00
1.000000000000000e+00	1.832142e+00
Step Information: Thresholdvoltage=1.819  (Step: 20/401)
0.000000000000000e+00	1.833142e+00
9.990485759703450e-01	1.833142e+00
1.000000000000000e+00	1.833142e+00
Step Information: Thresholdvoltage=1.82  (Step: 21/401)
0.000000000000000e+00	1.834142e+00
9.990485759703450e-01	1.834142e+00
1.000000000000000e+00	1.834142e+00
Step Information: Thresholdvoltage=1.821  (Step: 22/401)
0.000000000000000e+00	1.835142e+00
9.990485759703450e-01	1.835142e+00
1.000000000000000e+00	1.835142e+00
Step Information: Thresholdvoltage=1.822  (Step: 23/401)
0.000000000000000e+00	1.836142e+00
9.990485759703450e-01	1.836142e+00
1.000000000000000e+00	1.836142e+00
Step Information: Thresholdvoltage=1.823  (Step: 24/401)
0.000000000000000e+00	1.837142e+00
9.990485759703450e-01	1.837142e+00
1.000000000000000e+00	1.837142e+00
Step Information: Thresholdvoltage=1.824  (Step: 25/401)
0.000000000000000e+00	1.838142e+00
9.990485759703450e-01	1.838142e+00
1.000000000000000e+00	1.838142e+00
Step Information: Thresholdvoltage=1.825  (Step: 26/401)
0.000000000000000e+00	1.839142e+00
9.990485759703450e-01	1.839142e+00
1.000000000000000e+00	1.839142e+00
Step Information: Thresholdvoltage=1.826  (Step: 27/401)
0.000000000000000e+00	1.840142e+00
9.990485759703450e-01	1.840142e+00
1.000000000000000e+00	1.840142e+00
Step Information: Thresholdvoltage=1.827  (Step: 28/401)
0.000000000000000e+00	1.841142e+00
9.990485759703450e-01	1.841142e+00
1.000000000000000e+00	1.841142e+00
Step Information: Thresholdvoltage=1.828  (Step: 29/401)
