Designator,Mid X,Mid Y,Rotation,Layer
BT1,76.9,-69.413173,0.0,top
C1,112.62,-56.625,0.0,top
C2,112.62,-59.635,0.0,top
C3,112.62,-62.645,0.0,top
C4,112.62,-65.655,0.0,top
C5,112.62,-68.665,0.0,top
C6,112.62,-71.675,0.0,top
C7,120.396,-51.054,270.0,top
D1,62.484,-86.36,180.0,top
D2,133.03,-63.96,0.0,top
D3,119.385,-95.215,0.0,top
D4,128.985,-70.358,0.0,top
D5,139.535,-69.1,0.0,top
IC1,121.77,-44.69,180.0,top
IC2,69.5675,-69.455,0.0,top
J1,123.58,-36.4725,180.0,top
J2,64.0755,-67.17,90.0,top
J3,55.76,-96.92,0.0,top
J4,53.24,-45.61,0.0,top
J5,163.565,-54.44,0.0,top
J6,164.43,-74.85,0.0,top
L1,94.22,-90.68,0.0,top
L2,96.07,-101.69,0.0,top
R1,107.84,-56.595,0.0,top
R2,54.102,-86.36,180.0,top
R3,54.102,-89.662,180.0,top
R4,58.404,-86.36,180.0,top
R5,107.84,-68.395,0.0,top
R6,107.84,-71.345,0.0,top
R7,107.84,-74.295,0.0,top
R8,107.84,-77.245,0.0,top
R9,107.84,-80.195,0.0,top
TP1,70.1,-87.37,0.0,top
TP10,81.55,-105.17,0.0,top
TP2,71.12,-97.58,0.0,top
TP3,77.45,-97.97,0.0,top
TP4,77.45,-101.57,0.0,top
TP5,77.45,-105.17,0.0,top
TP6,81.55,-90.77,0.0,top
TP7,81.55,-94.37,0.0,top
TP8,81.55,-97.97,0.0,top
TP9,81.55,-101.57,0.0,top
